U.S. Forest Service,,,,,
Forest Products Financial System,,,,,
Contracts - FPFS_12.1.S,,,,,
"On the July, 2020 Close",,,,,
Run Date: 08/14/2020 16:46:12 - For USFS Use Only,,,,,
"RegionCode","RegionName","ForestCode","ForestName","DistrictCode","DistrictName"
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,07,Gunnison
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,08,Paonia
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,08,Paonia
02,Rocky Mountain,04,Grand Mesa-Uncompahgre-Gunnison,08,Paonia
02,Rocky Mountain,06,Medicine Bow-Routt,01,Yampa
02,Rocky Mountain,06,Medicine Bow-Routt,01,Yampa
02,Rocky Mountain,06,Medicine Bow-Routt,01,Yampa
02,Rocky Mountain,06,Medicine Bow-Routt,01,Yampa
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,02,Brush Creek-Hayden
02,Rocky Mountain,06,Medicine Bow-Routt,03,Hahns Peak-Bears Ears
02,Rocky Mountain,06,Medicine Bow-Routt,03,Hahns Peak-Bears Ears
02,Rocky Mountain,06,Medicine Bow-Routt,03,Hahns Peak-Bears Ears
02,Rocky Mountain,06,Medicine Bow-Routt,03,Hahns Peak-Bears Ears
02,Rocky Mountain,06,Medicine Bow-Routt,03,Hahns Peak-Bears Ears
02,Rocky Mountain,06,Medicine Bow-Routt,03,Hahns Peak-Bears Ears
02,Rocky Mountain,06,Medicine Bow-Routt,03,Hahns Peak-Bears Ears
02,Rocky Mountain,06,Medicine Bow-Routt,03,Hahns Peak-Bears Ears
02,Rocky Mountain,06,Medicine Bow-Routt,03,Hahns Peak-Bears Ears
02,Rocky Mountain,06,Medicine Bow-Routt,03,Hahns Peak-Bears Ears
02,Rocky Mountain,06,Medicine Bow-Routt,04,Parks
